regMid,regEnd,Final,attendance,status
65,67,68,74,Pass (after retake)
95,86,21,70,Summer course (Final < 25)
12,72,0,82,Summer course (Final < 25)
30,45,1,77,Summer course (Final < 25)
63,68,56,80,Pass (after retake)
58,77,20,83,Summer course (Final < 25)
70,61,66,99,Pass (after retake)
87,79,80,84,Pass
59,67,64,79,Pass (after retake)
81,88,97,57,Summer course (low attendance)
66,54,13,100,Summer course (Final < 25)
39,27,75,88,Summer course (low mid/end)
0,31,83,82,Summer course (low mid/end)
64,64,51,56,Summer course (low attendance)
38,95,1,100,Summer course (Final < 25)
63,49,5,77,Summer course (Final < 25)
23,19,82,67,Summer course (low mid/end)
52,54,55,65,FX  (retake opportunity)
47,46,37,71,Fail (total < 50)
46,0,19,60,Fail (total < 45)
44,55,88,40,Summer course (low attendance)
32,34,33,100,Fail (total < 50)
31,34,51,77,Summer course (low mid/end)
49,56,59,58,FX  (retake opportunity)
92,24,7,69,Summer course (Final < 25)
44,55,6,67,Summer course (Final < 25)
4,36,67,79,Summer course (low mid/end)
15,8,74,71,Summer course (low mid/end)
38,99,12,70,Summer course (Final < 25)
82,7,0,68,Summer course (Final < 25)
75,86,24,68,Summer course (Final < 25)
65,58,67,84,Pass (after retake)
58,50,54,67,FX  (retake opportunity)
20,84,12,76,Summer course (Final < 25)
76,53,58,54,Summer course (low attendance)
45,32,38,97,Fail (total < 50)
49,30,34,85,Fail (total < 50)
6,18,74,83,Summer course (low mid/end)
67,30,10,70,Summer course (Final < 25)
45,48,85,58,Summer course (low attendance)
63,62,63,53,Summer course (low attendance)
80,80,84,94,Pass
63,63,61,74,Pass (after retake)
65,60,60,99,Pass (after retake)
17,10,68,99,Summer course (low mid/end)
51,58,57,85,FX  (retake opportunity)
68,19,25,59,Summer course (Final < 25)
68,66,66,83,Pass (after retake)
28,37,6,63,Summer course (Final < 25)
7,40,62,68,Summer course (low mid/end)
69,92,67,93,Pass
46,12,15,57,Summer course (Final < 25)
100,7,24,69,Summer course (Final < 25)
46,45,71,91,Summer course (low mid/end)
66,68,60,96,Pass (after retake)
47,9,67,98,Summer course (low mid/end)
47,41,37,68,Fail (total < 50)
80,66,70,57,Summer course (low attendance)
30,77,16,90,Summer course (Final < 25)
59,55,52,83,FX  (retake opportunity)
84,69,73,40,Summer course (low attendance)
56,89,64,47,Summer course (low attendance)
86,100,100,98,Scholarship
56,54,47,82,FX  (retake opportunity)
67,67,71,89,Pass (after retake)
84,33,6,73,Summer course (Final < 25)
47,50,55,79,FX  (retake opportunity)
65,66,73,82,Pass (after retake)
42,45,32,74,Fail (total < 50)
14,42,33,59,Fail (total < 45)
31,27,29,61,Fail (total < 45)
14,97,6,89,Summer course (Final < 25)
75,87,70,50,Summer course (low attendance)
30,5,55,84,Summer course (low mid/end)
11,9,36,80,Fail (total < 45)
42,37,32,72,Fail (total < 50)
82,51,14,59,Summer course (Final < 25)
78,74,72,82,Pass
34,34,47,63,Fail (total < 50)
100,0,11,80,Summer course (Final < 25)
64,65,67,97,Pass (after retake)
59,68,0,59,Summer course (Final < 25)
52,56,54,86,FX  (retake opportunity)
31,42,43,86,Fail (total < 50)
50,73,26,73,Summer course (Final < 25)
82,77,17,75,Summer course (Final < 25)
50,49,50,96,FX  (retake opportunity)
42,68,5,49,Summer course (Final < 25)
82,44,100,49,Summer course (low attendance)
36,29,36,95,Fail (total < 50)
57,61,16,89,Summer course (Final < 25)
17,8,71,68,Summer course (low mid/end)
71,49,100,41,Summer course (low attendance)
67,66,66,89,Pass (after retake)
63,54,81,42,Summer course (low attendance)
43,17,55,81,Summer course (low mid/end)
80,93,61,54,Summer course (low attendance)
30,49,37,69,Fail (total < 50)
18,22,77,75,Summer course (low mid/end)
14,23,59,72,Summer course (low mid/end)
95,93,100,96,Scholarship
26,71,9,52,Summer course (Final < 25)
64,12,11,67,Summer course (Final < 25)
83,2,11,83,Summer course (Final < 25)
57,55,59,62,FX  (retake opportunity)
90,13,20,98,Summer course (Final < 25)
57,68,63,97,Pass (after retake)
60,5,5,93,Summer course (Final < 25)
89,32,0,87,Summer course (Final < 25)
30,23,13,72,Summer course (Final < 25)
44,45,92,49,Summer course (low attendance)
55,82,52,41,Summer course (low attendance)
81,66,90,44,Summer course (low attendance)
33,39,63,81,Summer course (low mid/end)
39,58,56,52,Summer course (low attendance)
43,38,47,48,Summer course (low attendance)
61,58,50,79,FX  (retake opportunity)
43,93,78,47,Summer course (low attendance)
57,43,80,53,Summer course (low attendance)
77,54,76,41,Summer course (low attendance)
90,18,11,92,Summer course (Final < 25)
64,47,62,47,Summer course (low attendance)
14,9,47,93,Summer course (low mid/end)
69,48,42,48,Summer course (low attendance)
74,73,10,48,Summer course (Final < 25)
80,19,16,58,Summer course (Final < 25)
43,33,38,64,Fail (total < 50)
26,2,54,84,Summer course (low mid/end)
37,16,52,94,Summer course (low mid/end)
50,82,93,57,Summer course (low attendance)
36,32,50,100,Summer course (low mid/end)
83,88,60,50,Summer course (low attendance)
61,63,70,100,Pass (after retake)
25,40,51,98,Summer course (low mid/end)
58,74,0,69,Summer course (Final < 25)
82,59,5,83,Summer course (Final < 25)
46,89,44,55,Summer course (low attendance)
35,30,58,84,Summer course (low mid/end)
86,92,41,50,Summer course (low attendance)
48,20,6,43,Fail (total < 45)
67,71,64,69,Pass (after retake)
47,83,9,60,Summer course (Final < 25)
22,69,20,68,Summer course (Final < 25)
53,32,65,78,Summer course (low mid/end)
39,87,6,72,Summer course (Final < 25)
33,16,23,85,Summer course (Final < 25)
100,93,89,95,Scholarship
38,29,12,50,Summer course (Final < 25)
79,83,89,83,Pass
59,50,54,64,FX  (retake opportunity)
94,65,69,96,Pass
79,89,74,95,Pass
46,29,59,70,Summer course (low mid/end)
15,61,12,99,Summer course (Final < 25)
56,56,58,62,FX  (retake opportunity)
83,80,84,86,Pass
61,75,77,55,Summer course (low attendance)
30,33,74,84,Summer course (low mid/end)
49,87,12,70,Summer course (Final < 25)
42,34,68,73,Summer course (low mid/end)
47,57,49,81,FX  (retake opportunity)
37,23,68,92,Summer course (low mid/end)
93,71,38,53,Summer course (low attendance)
51,18,0,58,Fail (total < 45)
3,12,67,79,Summer course (low mid/end)
73,63,59,79,Pass (after retake)
13,11,79,92,Summer course (low mid/end)
95,0,18,98,Summer course (Final < 25)
53,39,41,54,Fail (total < 45)
51,55,52,87,FX  (retake opportunity)
57,59,49,92,FX  (retake opportunity)
53,14,81,70,Summer course (low mid/end)
43,82,44,61,Summer course (low attendance)
89,76,82,49,Summer course (low attendance)
69,54,11,77,Summer course (Final < 25)
98,45,54,43,Summer course (low attendance)
94,95,84,48,Summer course (low attendance)
27,15,70,74,Summer course (low mid/end)
32,4,0,93,Summer course (Final < 25)
11,19,9,56,Fail (total < 45)
61,84,78,47,Summer course (low attendance)
48,47,35,64,Fail (total < 50)
4,43,80,77,Summer course (low mid/end)
18,24,19,59,Summer course (Final < 25)
1,9,15,97,Summer course (Final < 25)
8,31,59,88,Summer course (low mid/end)
42,65,75,54,Summer course (low attendance)
38,52,78,83,Summer course (low mid/end)
51,50,88,40,Summer course (low attendance)
78,37,78,44,Summer course (low attendance)
45,96,54,46,Summer course (low attendance)
0,29,73,99,Summer course (low mid/end)
45,28,3,69,Summer course (Final < 25)
39,18,4,89,Summer course (Final < 25)
64,45,74,56,Summer course (low attendance)
58,54,50,59,FX  (retake opportunity)
24,5,70,99,Summer course (low mid/end)
54,46,59,64,FX  (retake opportunity)
53,55,59,67,FX  (retake opportunity)
69,69,83,56,Summer course (low attendance)
75,81,65,43,Summer course (low attendance)
89,80,63,43,Summer course (low attendance)
54,50,55,63,FX  (retake opportunity)
67,64,62,75,Pass (after retake)
88,95,42,41,Summer course (low attendance)
47,87,16,96,Summer course (Final < 25)
98,89,11,99,Summer course (Final < 25)
74,54,16,66,Summer course (Final < 25)
45,64,55,54,Summer course (low attendance)
50,16,1,77,Summer course (Final < 25)
33,27,75,83,Summer course (low mid/end)
67,60,71,59,Summer course (low attendance)
53,51,57,74,FX  (retake opportunity)
61,60,70,74,Pass (after retake)
81,82,90,97,Pass
86,55,92,52,Summer course (low attendance)
18,24,48,78,Summer course (low mid/end)
50,52,54,93,FX  (retake opportunity)
55,75,17,77,Summer course (Final < 25)
35,52,76,81,Summer course (low mid/end)
64,58,66,95,Pass (after retake)
43,33,38,72,Fail (total < 50)
50,53,66,49,Summer course (low attendance)
1,79,14,56,Summer course (Final < 25)
57,56,47,70,FX  (retake opportunity)
10,78,0,59,Summer course (Final < 25)
44,41,35,82,Fail (total < 50)
42,29,69,89,Summer course (low mid/end)
36,17,12,79,Summer course (Final < 25)
48,53,51,71,FX  (retake opportunity)
41,36,40,89,Fail (total < 50)
59,78,100,47,Summer course (low attendance)
67,22,13,61,Summer course (Final < 25)
88,30,8,72,Summer course (Final < 25)
65,61,66,77,Pass (after retake)
46,73,92,40,Summer course (low attendance)
55,53,56,98,FX  (retake opportunity)
23,3,9,75,Summer course (Final < 25)
58,53,52,64,FX  (retake opportunity)
41,49,35,77,Fail (total < 50)
29,20,10,67,Summer course (Final < 25)
53,71,57,56,Summer course (low attendance)
32,40,67,79,Summer course (low mid/end)
86,64,93,40,Summer course (low attendance)
2,36,73,98,Summer course (low mid/end)
21,2,59,86,Summer course (low mid/end)
98,82,70,46,Summer course (low attendance)
91,83,72,92,Pass
38,40,31,96,Fail (total < 50)
28,90,12,95,Summer course (Final < 25)
47,76,98,57,Summer course (low attendance)
14,68,22,93,Summer course (Final < 25)
45,54,54,58,Summer course (low attendance)
40,27,58,78,Summer course (low mid/end)
27,11,78,75,Summer course (low mid/end)
57,41,65,51,Summer course (low attendance)
100,98,100,93,Scholarship
68,61,59,95,Pass (after retake)
51,22,75,94,Summer course (low mid/end)
13,25,8,72,Fail (total < 45)
36,46,80,77,Summer course (low mid/end)
43,39,55,78,Summer course (low mid/end)
2,11,73,96,Summer course (low mid/end)
61,92,43,49,Summer course (low attendance)
85,87,80,85,Pass
46,60,15,66,Summer course (Final < 25)
52,51,57,96,FX  (retake opportunity)
71,85,13,59,Summer course (Final < 25)
39,46,32,88,Fail (total < 50)
97,98,70,54,Summer course (low attendance)
18,38,38,70,Fail (total < 45)
54,47,0,100,Summer course (Final < 25)
90,95,44,40,Summer course (low attendance)
79,82,84,81,Pass
93,75,62,48,Summer course (low attendance)
41,35,55,76,Summer course (low mid/end)
36,45,29,80,Fail (total < 50)
76,18,14,94,Summer course (Final < 25)
4,1,61,93,Summer course (low mid/end)
18,55,1,94,Summer course (Final < 25)
8,6,64,73,Summer course (low mid/end)
64,60,67,92,Pass (after retake)
15,35,47,79,Summer course (low mid/end)
29,0,73,86,Summer course (low mid/end)
17,66,8,59,Summer course (Final < 25)
66,60,11,89,Summer course (Final < 25)
60,21,2,56,Summer course (Final < 25)
41,45,64,40,Summer course (low attendance)
39,28,25,72,Fail (total < 50)
81,51,69,54,Summer course (low attendance)
84,22,0,73,Summer course (Final < 25)
13,37,22,62,Fail (total < 45)
100,78,22,94,Summer course (Final < 25)
64,57,65,99,Pass (after retake)
57,75,46,51,Summer course (low attendance)
93,64,76,52,Summer course (low attendance)
25,15,64,92,Summer course (low mid/end)
74,100,24,60,Summer course (Final < 25)
50,55,53,62,FX  (retake opportunity)
65,47,90,54,Summer course (low attendance)
45,40,79,79,Summer course (low mid/end)
6,38,34,69,Fail (total < 45)
62,68,66,96,Pass (after retake)
0,14,64,85,Summer course (low mid/end)
59,69,63,85,Pass (after retake)
100,41,11,84,Summer course (Final < 25)
0,19,50,90,Summer course (low mid/end)
56,61,55,41,Summer course (low attendance)
61,96,22,60,Summer course (Final < 25)
34,61,21,61,Summer course (Final < 25)
43,38,25,66,Fail (total < 45)
61,63,63,58,FX  (retake opportunity)
95,74,41,45,Summer course (low attendance)
66,60,66,94,Pass (after retake)
58,54,81,49,Summer course (low attendance)
39,33,33,78,Fail (total < 50)
56,45,55,83,FX  (retake opportunity)
19,44,72,80,Summer course (low mid/end)
29,14,63,95,Summer course (low mid/end)
62,47,62,99,FX  (retake opportunity)
89,58,74,41,Summer course (low attendance)
25,43,75,94,Summer course (low mid/end)
90,89,88,95,Scholarship
15,39,51,91,Summer course (low mid/end)
69,61,63,73,Pass (after retake)
76,0,4,68,Summer course (Final < 25)
55,50,49,95,FX  (retake opportunity)
5,84,9,95,Summer course (Final < 25)
10,15,4,84,Summer course (Final < 25)
77,77,92,84,Pass
49,54,54,60,FX  (retake opportunity)
17,27,65,81,Summer course (low mid/end)
51,26,42,59,Fail (total < 50)
51,39,4,62,Summer course (Final < 25)
9,38,22,67,Summer course (Final < 25)
22,33,9,95,Summer course (Final < 25)
6,8,50,96,Summer course (low mid/end)
8,30,65,88,Summer course (low mid/end)
25,92,21,80,Summer course (Final < 25)
55,61,44,42,Summer course (low attendance)
31,37,42,59,Fail (total < 50)
81,38,77,51,Summer course (low attendance)
70,63,59,72,Pass (after retake)
63,64,69,93,Pass (after retake)
55,44,67,44,Summer course (low attendance)
52,95,46,50,Summer course (low attendance)
43,15,71,79,Summer course (low mid/end)
88,90,85,43,Summer course (low attendance)
88,69,74,48,Summer course (low attendance)
56,97,71,40,Summer course (low attendance)
68,56,55,92,Pass (after retake)
47,50,54,58,Summer course (low attendance)
93,86,94,42,Summer course (low attendance)
66,65,72,85,Pass (after retake)
64,70,62,55,Summer course (low attendance)
67,62,71,94,Pass (after retake)
57,14,0,73,Summer course (Final < 25)
63,62,57,78,Pass (after retake)
7,51,6,47,Fail (total < 45)
84,75,91,48,Summer course (low attendance)
57,64,50,79,FX  (retake opportunity)
60,58,56,78,Pass (after retake)
69,64,60,67,Pass (after retake)
64,76,83,54,Summer course (low attendance)
14,16,27,49,Fail (total < 45)
49,48,32,77,Fail (total < 50)
34,14,67,76,Summer course (low mid/end)
4,91,16,67,Summer course (Final < 25)
34,0,11,84,Summer course (Final < 25)
8,60,15,88,Summer course (Final < 25)
34,19,71,85,Summer course (low mid/end)
24,12,4,63,Fail (total < 45)
5,62,5,75,Summer course (Final < 25)
81,81,82,87,Pass
8,48,35,65,Fail (total < 45)
23,37,15,44,Fail (total < 45)
46,36,65,89,Summer course (low mid/end)
11,26,62,97,Summer course (low mid/end)
67,69,71,89,Pass (after retake)
34,67,5,59,Summer course (Final < 25)
32,33,73,69,Summer course (low mid/end)
55,77,67,41,Summer course (low attendance)
60,70,80,56,Summer course (low attendance)
7,18,74,94,Summer course (low mid/end)
61,48,55,83,FX  (retake opportunity)
47,86,81,46,Summer course (low attendance)
90,45,10,72,Summer course (Final < 25)
53,55,49,66,FX  (retake opportunity)
65,63,71,86,Pass (after retake)
41,79,2,78,Summer course (Final < 25)
63,68,66,82,Pass (after retake)
8,5,79,89,Summer course (low mid/end)
72,69,65,95,Pass (after retake)
65,63,71,100,Pass (after retake)
100,45,89,55,Summer course (low attendance)
71,62,61,95,Pass (after retake)
17,20,5,41,Fail (total < 45)
73,59,66,92,Pass (after retake)
40,95,45,53,Summer course (low attendance)
73,47,8,83,Summer course (Final < 25)
59,60,63,82,Pass (after retake)
94,27,6,87,Summer course (Final < 25)
63,59,70,72,Pass (after retake)
0,44,21,89,Summer course (Final < 25)
73,52,85,50,Summer course (low attendance)
47,51,94,47,Summer course (low attendance)
19,58,23,62,Summer course (Final < 25)
13,93,14,77,Summer course (Final < 25)
33,31,8,71,Fail (total < 45)
82,78,13,59,Summer course (Final < 25)
80,85,90,86,Pass
50,69,73,47,Summer course (low attendance)
53,54,55,63,FX  (retake opportunity)
17,48,27,61,Fail (total < 45)
30,44,54,72,Summer course (low mid/end)
17,6,82,85,Summer course (low mid/end)
82,54,93,58,Summer course (low attendance)
58,48,48,56,Summer course (low attendance)
46,56,46,72,FX  (retake opportunity)
69,92,82,51,Summer course (low attendance)
60,61,68,89,Pass (after retake)
39,39,78,76,Summer course (low mid/end)
33,88,0,95,Summer course (Final < 25)
46,4,47,71,Fail (total < 45)
87,88,94,46,Summer course (low attendance)
65,65,65,72,Pass (after retake)
55,49,50,89,FX  (retake opportunity)
65,68,55,85,Pass (after retake)
54,53,57,81,FX  (retake opportunity)
27,45,5,88,Summer course (Final < 25)
92,87,88,100,Scholarship
91,98,48,51,Summer course (low attendance)
36,38,35,74,Fail (total < 45)
6,28,5,70,Fail (total < 45)
22,78,17,95,Summer course (Final < 25)
77,77,86,97,Pass
67,77,14,50,Summer course (Final < 25)
98,25,4,50,Summer course (Final < 25)
67,65,62,95,Pass (after retake)
84,48,37,47,Summer course (low attendance)
12,19,62,81,Summer course (low mid/end)
11,0,59,88,Summer course (low mid/end)
30,33,24,89,Summer course (Final < 25)
62,76,44,56,Summer course (low attendance)
83,76,70,97,Pass
78,42,61,45,Summer course (low attendance)
86,94,24,92,Summer course (Final < 25)
54,50,63,45,Summer course (low attendance)
63,93,58,40,Summer course (low attendance)
44,49,33,75,Fail (total < 50)
12,48,7,54,Summer course (Final < 25)
76,89,40,52,Summer course (low attendance)
100,91,100,94,Scholarship
97,33,14,64,Summer course (Final < 25)
52,62,20,74,Summer course (Final < 25)
14,18,56,97,Summer course (low mid/end)
0,100,3,68,Summer course (Final < 25)
63,80,62,45,Summer course (low attendance)
84,77,76,95,Pass
14,40,46,95,Summer course (low mid/end)
50,68,18,50,Summer course (Final < 25)
74,6,3,65,Summer course (Final < 25)
51,60,54,61,FX  (retake opportunity)
83,67,14,63,Summer course (Final < 25)
24,4,51,97,Summer course (low mid/end)
96,35,10,88,Summer course (Final < 25)
63,42,0,77,Summer course (Final < 25)
11,36,56,77,Summer course (low mid/end)
77,45,78,53,Summer course (low attendance)
49,58,52,90,FX  (retake opportunity)
98,86,98,51,Summer course (low attendance)
64,61,58,72,Pass (after retake)
79,82,22,100,Summer course (Final < 25)
77,70,89,84,Pass
39,47,39,95,Fail (total < 50)
36,5,69,89,Summer course (low mid/end)
8,30,12,78,Summer course (Final < 25)
22,19,6,56,Fail (total < 45)
36,47,28,88,Fail (total < 50)
21,32,68,73,Summer course (low mid/end)
38,32,43,94,Fail (total < 50)
67,65,61,87,Pass (after retake)
37,1,62,71,Summer course (low mid/end)
64,56,10,69,Summer course (Final < 25)
42,16,1,74,Fail (total < 45)
61,16,5,74,Summer course (Final < 25)
33,38,61,90,Summer course (low mid/end)
35,39,35,70,Fail (total < 50)
38,90,76,56,Summer course (low attendance)
20,10,45,72,Fail (total < 45)
10,18,21,43,Fail (total < 45)
98,75,62,53,Summer course (low attendance)
97,79,13,91,Summer course (Final < 25)
53,47,92,46,Summer course (low attendance)
12,45,76,84,Summer course (low mid/end)
32,27,7,78,Summer course (Final < 25)
30,14,59,77,Summer course (low mid/end)
75,91,87,42,Summer course (low attendance)
88,71,82,43,Summer course (low attendance)
53,53,58,75,FX  (retake opportunity)
37,38,55,69,Summer course (low mid/end)
33,23,22,91,Summer course (Final < 25)
65,69,90,55,Summer course (low attendance)
37,95,20,64,Summer course (Final < 25)
84,77,71,96,Pass
42,52,67,85,Summer course (low mid/end)
77,58,43,56,Summer course (low attendance)
6,34,78,76,Summer course (low mid/end)
90,79,47,50,Summer course (low attendance)
66,69,63,97,Pass (after retake)
48,91,77,48,Summer course (low attendance)
68,59,51,53,Summer course (low attendance)
34,81,16,58,Summer course (Final < 25)
73,88,84,83,Pass
42,43,42,85,Fail (total < 50)
87,89,64,50,Summer course (low attendance)
53,51,55,92,FX  (retake opportunity)
56,56,52,67,FX  (retake opportunity)
90,88,87,44,Summer course (low attendance)
54,51,56,86,FX  (retake opportunity)
78,44,61,49,Summer course (low attendance)
11,27,6,96,Summer course (Final < 25)
77,21,11,62,Summer course (Final < 25)
19,25,54,94,Summer course (low mid/end)
56,81,96,45,Summer course (low attendance)
58,55,51,91,FX  (retake opportunity)
66,82,12,74,Summer course (Final < 25)
71,62,58,94,Pass (after retake)
51,30,30,47,Fail (total < 45)
93,65,43,48,Summer course (low attendance)
66,68,22,91,Summer course (Final < 25)
52,63,51,93,FX  (retake opportunity)
15,40,56,84,Summer course (low mid/end)
44,46,34,85,Fail (total < 50)
70,22,9,73,Summer course (Final < 25)
49,55,53,63,FX  (retake opportunity)
52,72,58,47,Summer course (low attendance)
93,46,100,48,Summer course (low attendance)
100,95,91,42,Summer course (low attendance)
78,38,2,54,Summer course (Final < 25)
95,40,17,99,Summer course (Final < 25)
30,32,2,42,Fail (total < 45)
100,91,42,40,Summer course (low attendance)
21,45,26,92,Summer course (Final < 25)
70,11,5,81,Summer course (Final < 25)
91,84,7,72,Summer course (Final < 25)
56,80,47,46,Summer course (low attendance)
35,8,14,56,Summer course (Final < 25)
86,11,16,94,Summer course (Final < 25)
18,69,7,77,Summer course (Final < 25)
6,17,72,89,Summer course (low mid/end)
58,61,57,70,Pass (after retake)
92,53,43,41,Summer course (low attendance)
61,64,56,93,Pass (after retake)
15,41,11,55,Summer course (Final < 25)
60,68,69,84,Pass (after retake)
81,77,4,76,Summer course (Final < 25)
25,12,60,79,Summer course (low mid/end)
23,9,21,100,Summer course (Final < 25)
62,71,62,88,Pass (after retake)
55,55,58,59,FX  (retake opportunity)
56,86,44,50,Summer course (low attendance)
75,86,46,50,Summer course (low attendance)
63,72,71,70,Pass (after retake)
65,68,71,100,Pass (after retake)
46,47,38,83,Fail (total < 50)
37,36,48,60,Fail (total < 50)
30,43,69,82,Summer course (low mid/end)
64,72,64,68,Pass (after retake)
21,14,54,89,Summer course (low mid/end)
86,63,22,75,Summer course (Final < 25)
36,38,38,73,Fail (total < 50)
26,26,70,86,Summer course (low mid/end)
51,68,60,40,Summer course (low attendance)
58,90,65,51,Summer course (low attendance)
3,3,20,65,Summer course (Final < 25)
34,38,23,95,Summer course (Final < 25)
60,55,52,63,FX  (retake opportunity)
34,1,58,88,Summer course (low mid/end)
74,79,83,90,Pass
29,44,57,95,Summer course (low mid/end)
12,36,14,40,Fail (total < 45)
65,67,62,97,Pass (after retake)
26,36,39,75,Fail (total < 45)
63,64,68,85,Pass (after retake)
36,24,52,82,Summer course (low mid/end)
18,26,70,79,Summer course (low mid/end)
19,20,15,71,Summer course (Final < 25)
41,48,26,62,Fail (total < 45)
74,69,2,91,Summer course (Final < 25)
37,94,0,80,Summer course (Final < 25)
2,54,14,81,Summer course (Final < 25)
7,23,15,60,Fail (total < 45)
9,40,34,43,Fail (total < 45)
5,11,67,83,Summer course (low mid/end)
6,74,6,73,Summer course (Final < 25)
33,51,14,93,Summer course (Final < 25)
9,62,22,69,Summer course (Final < 25)
30,21,42,79,Fail (total < 45)
60,54,52,73,FX  (retake opportunity)
79,95,93,48,Summer course (low attendance)
5,46,56,74,Summer course (low mid/end)
90,65,42,43,Summer course (low attendance)
15,47,0,47,Fail (total < 45)
76,71,84,53,Summer course (low attendance)
50,54,57,98,FX  (retake opportunity)
36,0,55,89,Summer course (low mid/end)
72,68,62,52,Summer course (low attendance)
56,72,18,87,Summer course (Final < 25)
22,18,56,76,Summer course (low mid/end)
96,96,88,98,Scholarship
65,82,47,59,Summer course (low attendance)
39,71,22,58,Summer course (Final < 25)
74,79,38,50,Summer course (low attendance)
86,51,37,49,Summer course (low attendance)
75,95,2,72,Summer course (Final < 25)
62,39,17,55,Summer course (Final < 25)
70,63,61,100,Pass (after retake)
26,5,11,56,Summer course (Final < 25)
25,70,17,80,Summer course (Final < 25)
71,42,6,97,Summer course (Final < 25)
62,57,89,44,Summer course (low attendance)
100,11,0,75,Summer course (Final < 25)
78,72,92,89,Pass
36,37,71,83,Summer course (low mid/end)
96,56,5,96,Summer course (Final < 25)
45,56,57,93,FX  (retake opportunity)
93,32,6,93,Summer course (Final < 25)
61,14,14,76,Summer course (Final < 25)
49,58,69,42,Summer course (low attendance)
23,31,75,83,Summer course (low mid/end)
50,51,58,75,FX  (retake opportunity)
88,53,11,55,Summer course (Final < 25)
46,41,12,77,Summer course (Final < 25)
19,3,49,85,Summer course (low mid/end)
79,98,92,49,Summer course (low attendance)
43,11,15,92,Summer course (Final < 25)
17,50,4,65,Fail (total < 45)
90,57,8,65,Summer course (Final < 25)
91,36,63,55,Summer course (low attendance)
59,53,56,69,FX  (retake opportunity)
58,56,51,72,FX  (retake opportunity)
41,34,38,93,Fail (total < 50)
67,84,62,42,Summer course (low attendance)
7,27,56,100,Summer course (low mid/end)
25,46,61,87,Summer course (low mid/end)
13,7,17,89,Summer course (Final < 25)
67,68,61,79,Pass (after retake)
92,50,12,77,Summer course (Final < 25)
66,60,64,75,Pass (after retake)
50,9,11,59,Summer course (Final < 25)
45,63,60,94,FX  (retake opportunity)
84,19,5,53,Summer course (Final < 25)
3,63,7,60,Summer course (Final < 25)
39,48,95,42,Summer course (low attendance)
63,64,66,97,Pass (after retake)
52,47,61,94,FX  (retake opportunity)
58,61,56,84,FX  (retake opportunity)
77,82,73,84,Pass
41,2,74,77,Summer course (low mid/end)
36,46,68,94,Summer course (low mid/end)
60,55,46,78,FX  (retake opportunity)
52,47,63,84,FX  (retake opportunity)
61,54,53,81,FX  (retake opportunity)
30,40,34,60,Fail (total < 50)
37,26,65,73,Summer course (low mid/end)
56,47,48,77,FX  (retake opportunity)
26,10,63,91,Summer course (low mid/end)
26,39,63,86,Summer course (low mid/end)
93,95,60,45,Summer course (low attendance)
48,51,100,60,Summer course (low attendance)
97,97,10,83,Summer course (Final < 25)
70,68,66,86,Pass (after retake)
38,2,63,96,Summer course (low mid/end)
14,8,14,93,Summer course (Final < 25)
38,30,39,65,Fail (total < 50)
52,38,95,41,Summer course (low attendance)
84,90,88,54,Summer course (low attendance)
66,65,68,75,Pass (after retake)
51,79,83,42,Summer course (low attendance)
62,65,61,88,Pass (after retake)
46,55,51,100,FX  (retake opportunity)
41,95,54,44,Summer course (low attendance)
52,12,21,89,Summer course (Final < 25)
68,65,60,74,Pass (after retake)
30,40,31,84,Fail (total < 50)
46,23,66,78,Summer course (low mid/end)
94,42,95,52,Summer course (low attendance)
80,86,82,92,Pass
84,77,69,92,Pass
45,49,32,64,Fail (total < 45)
9,46,72,96,Summer course (low mid/end)
31,5,47,74,Summer course (low mid/end)
48,58,50,81,FX  (retake opportunity)
72,15,17,86,Summer course (Final < 25)
5,1,61,90,Summer course (low mid/end)
49,58,50,63,FX  (retake opportunity)
59,74,4,72,Summer course (Final < 25)
43,45,32,72,Fail (total < 50)
9,32,76,99,Summer course (low mid/end)
51,3,61,72,Summer course (low mid/end)
58,57,64,82,Pass (after retake)
88,41,46,47,Summer course (low attendance)
65,74,62,44,Summer course (low attendance)
49,100,80,52,Summer course (low attendance)
63,77,62,49,Summer course (low attendance)
68,41,21,91,Summer course (Final < 25)
62,60,80,58,Summer course (low attendance)
42,50,49,96,Fail (total < 50)
27,50,75,100,Summer course (low mid/end)
92,88,9,51,Summer course (Final < 25)
40,48,99,54,Summer course (low attendance)
54,56,52,66,FX  (retake opportunity)
96,99,97,100,Scholarship
1,39,69,76,Summer course (low mid/end)
14,1,76,72,Summer course (low mid/end)
72,59,70,45,Summer course (low attendance)
45,36,45,60,Fail (total < 50)
93,58,94,49,Summer course (low attendance)
87,56,62,54,Summer course (low attendance)
81,75,5,100,Summer course (Final < 25)
50,31,41,67,Fail (total < 45)
10,0,57,84,Summer course (low mid/end)
73,72,60,92,Pass (after retake)
98,59,92,58,Summer course (low attendance)
64,54,61,66,FX  (retake opportunity)
26,37,20,64,Fail (total < 45)
53,66,15,79,Summer course (Final < 25)
80,80,4,66,Summer course (Final < 25)
66,61,63,93,Pass (after retake)
3,10,53,88,Summer course (low mid/end)
95,89,28,73,Summer course (Final < 25)
27,19,70,87,Summer course (low mid/end)
16,25,58,86,Summer course (low mid/end)
70,83,25,72,Summer course (Final < 25)
28,12,53,72,Summer course (low mid/end)
100,30,21,63,Summer course (Final < 25)
55,54,56,61,FX  (retake opportunity)
15,45,44,63,Fail (total < 45)
